No,Nama Motor,Usia Motor (tahun),Jarak Tempuh (km),Gejala Kerusakan,Kelas Perawatan Kebutuhan,Komponen yang Diperiksa,Harga (Rp)
24,Honda PCX Hybrid,1,24807,Lampu redup,Ringan,"Oli mesin, busi","Rp 262,404"
25,Honda Supra X 125,2,81078,Bunyi aneh,Tinggi,"Kampas rem, oli rem","Rp 1,540,539"
26,Honda Supra X Helm-In,5,61392,Getaran CVT,Sedang,"V-belt, grease roller","Rp 780,696"
27,Honda CBR 250RR,3,24636,Knalpot berasap,Tinggi,"Filter udara, oli mesin","Rp 1,512,318"
28,Honda Vario 125,2,76386,Oli bocor,Ringan,"CVT, roller","Rp 288,193"
29,Honda PCX,4,45049,Suara kasar,Tinggi,"Oli mesin, busi","Rp 1,522,525"
30,Honda Vario 150,1,73711,Mesin panas,Tinggi,"Radiator, piston","Rp 1,536,856"
31,Honda Vario 150,4,21783,Oli bocor,Sedang,"Filter udara, oli mesin","Rp 760,892"
32,Honda Beat CBS,3,26571,Suara kasar,Tinggi,"Oli mesin, busi","Rp 1,513,286"
33,Honda Revo Fit,8,24230,Tarikan lambat,Sedang,"Busi, klep","Rp 762,115"
34,Honda Scoopy,6,70714,Oli bocor,Tinggi,"Oli mesin, busi","Rp 1,535,357"
35,Honda Beat,2,81418,Bunyi aneh,Tinggi,"V-belt, grease roller","Rp 1,540,709"
36,Honda Beat Street,7,81650,Tarikan berat,Ringan,"Radiator, piston","Rp 290,825"
37,Honda Beat CBS,1,53803,Mesin panas,Ringan,"Radiator, piston","Rp 276,902"
38,Honda Supra X Helm-In,8,13714,Knalpot berasap,Sedang,"Filter udara, oli mesin","Rp 756,857"
39,Honda Beat Street,5,71737,Aki soak,Tinggi,"CVT, roller","Rp 1,535,869"
40,Honda PCX Hybrid,3,29067,Knalpot berasap,Ringan,"Kampas rem, oli rem","Rp 264,534"
41,Honda Beat CBS,5,44802,Tarikan lambat,Tinggi,"V-belt, grease roller","Rp 1,522,401"
42,Honda Beat CBS,8,53113,Rantai longgar,Sedang,"V-belt, grease roller","Rp 776,557"
43,Honda Supra X Helm-In,1,13246,Lampu redup,Ringan,"Radiator, piston","Rp 256,623"
44,Honda Beat,7,43891,Rantai longgar,Sedang,"Filter udara, oli mesin","Rp 771,946"
45,Honda Vario 150,3,50699,Suara kasar,Sedang,"V-belt, grease roller","Rp 775,350"
46,Honda CBR 250RR,5,39305,Mesin panas,Tinggi,"Busi, klep","Rp 1,519,653"
47,Honda Vario 125,8,14971,Getaran CVT,Tinggi,"Radiator, piston","Rp 1,507,486"
48,Honda CBR 150R,5,24845,Mesin bergetar,Sedang,"Filter udara, oli mesin","Rp 762,423"
49,Honda Beat,1,35773,CVT licin,Tinggi,"Oli mesin, busi","Rp 1,517,887"
50,Honda Revo Fit,7,33199,Tarikan berat,Sedang,"Kampas rem, oli rem","Rp 766,600"
51,Honda Vario 125,6,34972,CVT licin,Ringan,"Aki, kiprok","Rp 267,486"
52,Honda Beat Street,3,60678,Mesin bergetar,Tinggi,"Kampas rem, oli rem","Rp 1,530,339"
53,Honda Supra X 125,6,84386,Mesin panas,Tinggi,"Filter udara, oli mesin","Rp 1,542,193"
54,Honda Supra GTR,3,79050,Suara kasar,Ringan,"Filter udara, oli mesin","Rp 289,525"
55,Honda Beat CBS,2,10148,Rantai longgar,Sedang,"Filter udara, oli mesin","Rp 755,074"
56,Honda Revo Fit,2,32202,Rantai longgar,Tinggi,"V-belt, grease roller","Rp 1,516,101"
57,Honda Beat Street,8,66172,Suara kasar,Sedang,"Filter udara, oli mesin","Rp 783,086"
58,Honda Beat Street,1,72385,Tarikan berat,Tinggi,"Filter udara, oli mesin","Rp 1,536,193"
59,Honda Supra X 125,6,53818,Rem kurang pakem,Tinggi,"Kampas rem, oli rem","Rp 1,526,909"
60,Honda Vario 125,6,71907,Aki soak,Tinggi,"Busi, klep","Rp 1,535,954"
61,Honda Revo Fit,5,45229,Suara kasar,Ringan,"Oli mesin, busi","Rp 272,615"
62,Honda Revo Fit,2,54949,Aki soak,Ringan,"Radiator, piston","Rp 277,475"
63,Honda Beat,8,15500,Bunyi aneh,Ringan,"Radiator, piston","Rp 257,750"
64,Honda Beat CBS,1,8261,Knalpot berasap,Sedang,"Filter udara, oli mesin","Rp 754,131"
65,Honda Vario 150,3,16624,Oli bocor,Tinggi,"Busi, klep","Rp 1,508,312"
66,Honda Vario 150,2,22427,Lampu redup,Sedang,"Filter udara, oli mesin","Rp 761,214"
67,Honda PCX Hybrid,8,16548,Oli bocor,Ringan,"Filter udara, oli mesin","Rp 258,274"
68,Honda CBR 250RR,2,52255,Knalpot berasap,Sedang,"V-belt, grease roller","Rp 776,128"
69,Honda Beat CBS,4,30893,Lampu redup,Ringan,"Busi, klep","Rp 265,447"
70,Honda Scoopy Stylish,3,25106,Getaran CVT,Sedang,"Busi, klep","Rp 762,553"
71,Honda PCX,3,73534,Rantai longgar,Ringan,"Busi, klep","Rp 286,767"
72,Honda Scoopy,5,34153,CVT licin,Sedang,"Aki, kiprok","Rp 767,077"
73,Honda Scoopy Stylish,7,30562,Suara kasar,Ringan,"Filter udara, oli mesin","Rp 265,281"
74,Honda Beat Street,2,32075,Mesin bergetar,Ringan,"Kampas rem, oli rem","Rp 266,038"
75,Honda CBR 150R,1,20333,Tarikan berat,Sedang,"Kampas rem, oli rem","Rp 760,167"
76,Honda CBR 150R,1,62669,Aki soak,Tinggi,"Aki, kiprok","Rp 1,531,335"
77,Honda Revo Fit,5,47941,Knalpot berasap,Ringan,"V-belt, grease roller","Rp 273,971"
78,Honda Vario 150,8,21601,Tarikan berat,Tinggi,"Kampas rem, oli rem","Rp 1,510,801"
79,Honda Vario 125,5,19855,CVT licin,Sedang,"V-belt, grease roller","Rp 759,928"
80,Honda PCX Hybrid,1,39150,Bunyi aneh,Tinggi,"Kampas rem, oli rem","Rp 1,519,575"
81,Honda Supra GTR,4,34071,Lampu redup,Sedang,"Aki, kiprok","Rp 767,036"
82,Honda Beat Street,3,71643,Tarikan lambat,Tinggi,"Oli mesin, busi","Rp 1,535,822"
83,Honda Scoopy Stylish,1,62775,Tarikan lambat,Tinggi,"V-belt, grease roller","Rp 1,531,388"
84,Honda Scoopy,4,46162,Aki soak,Sedang,"V-belt, grease roller","Rp 773,081"
85,Honda Scoopy,8,6617,Bunyi aneh,Sedang,"Aki, kiprok","Rp 753,309"
86,Honda Revo Fit,3,13503,Mesin panas,Ringan,"V-belt, grease roller","Rp 256,752"
87,Honda Scoopy,1,84564,Rem kurang pakem,Tinggi,"Radiator, piston","Rp 1,542,282"
88,Honda PCX,3,46634,Oli bocor,Ringan,"Aki, kiprok","Rp 273,317"
89,Honda Supra X Helm-In,6,34821,Mesin bergetar,Tinggi,"CVT, roller","Rp 1,517,411"
90,Honda Beat,2,51190,Lampu redup,Sedang,"Kampas rem, oli rem","Rp 775,595"
91,Honda CBR 250RR,6,28870,Knalpot berasap,Ringan,"Busi, klep","Rp 264,435"
92,Honda Supra X Helm-In,5,24576,Mesin panas,Sedang,"CVT, roller","Rp 762,288"
93,Honda Beat Street,7,21135,Mesin panas,Tinggi,"Oli mesin, busi","Rp 1,510,568"
94,Honda PCX,3,44741,Rem kurang pakem,Sedang,"Busi, klep","Rp 772,371"
95,Honda Scoopy,4,9859,Rem kurang pakem,Tinggi,"CVT, roller","Rp 1,504,930"
96,Honda Supra GTR,5,8778,Getaran CVT,Tinggi,"Aki, kiprok","Rp 1,504,389"
97,Honda Revo Fit,6,45370,Rem kurang pakem,Tinggi,"Aki, kiprok","Rp 1,522,685"
98,Honda Supra GTR,5,33991,Tarikan berat,Sedang,"V-belt, grease roller","Rp 766,996"
99,Honda CBR 150R,3,40968,Tarikan berat,Tinggi,"Aki, kiprok","Rp 1,520,484"
100,Honda Scoopy,5,31065,Lampu redup,Ringan,"Kampas rem, oli rem","Rp 265,533"
101,Yamaha Lexi,8,79081,Bunyi aneh,Tinggi,"V-belt, grease roller","Rp 1,539,541"
102,Honda Revo Fit,1,25221,Suara kasar,Sedang,"Filter udara, oli mesin","Rp 762,611"
103,Honda Revo Fit,4,19134,Rem kurang pakem,Ringan,"Aki, kiprok","Rp 259,567"
104,Yamaha Aerox,7,19777,Tarikan lambat,Sedang,"Kampas rem, oli rem","Rp 759,889"
105,Yamaha Aerox,4,80876,Rem kurang pakem,Tinggi,"Oli mesin, busi","Rp 1,540,438"
106,Yamaha XMAX,5,10703,Oli bocor,Tinggi,"V-belt, grease roller","Rp 1,505,352"
107,Honda Supra X Helm-In,6,59786,Tarikan lambat,Ringan,"Aki, kiprok","Rp 279,893"
108,Suzuki Nex Crossover,3,72646,Rem kurang pakem,Sedang,"V-belt, grease roller","Rp 786,323"
109,Honda Scoopy Stylish,8,43865,Mesin panas,Ringan,"Aki, kiprok","Rp 271,933"
110,Honda Vario 150,8,10061,Rantai longgar,Tinggi,"Oli mesin, busi","Rp 1,505,031"
111,Honda PCX,1,19553,Suara kasar,Ringan,"Busi, klep","Rp 259,777"
112,Yamaha Lexi,4,54000,Bunyi aneh,Tinggi,"Radiator, piston","Rp 1,527,000"
113,Honda CBR 250RR,7,84233,Getaran CVT,Ringan,"Filter udara, oli mesin","Rp 292,117"
114,Suzuki Address Playful,2,20771,Tarikan berat,Tinggi,"Busi, klep","Rp 1,510,386"
115,Honda Supra X Helm-In,8,59238,Suara kasar,Tinggi,"Oli mesin, busi","Rp 1,529,619"
116,Yamaha FreeGo,5,84781,Bunyi aneh,Tinggi,"V-belt, grease roller","Rp 1,542,391"
117,Yamaha XMAX 250,8,6529,Knalpot berasap,Tinggi,"Filter udara, oli mesin","Rp 1,503,265"
118,Suzuki Satria FU,8,10356,Bunyi aneh,Sedang,"CVT, roller","Rp 755,178"
119,Yamaha Vega ZR,1,16743,Tarikan lambat,Sedang,"Aki, kiprok","Rp 758,372"
120,Suzuki Address Playful,5,61667,Rem kurang pakem,Tinggi,"Filter udara, oli mesin","Rp 1,530,834"
121,Honda Vario 125,4,5223,Mesin bergetar,Tinggi,"Kampas rem, oli rem","Rp 1,502,612"
122,Suzuki Nex II,8,41531,Suara kasar,Ringan,"Busi, klep","Rp 270,766"
123,Honda Vario 150,3,11240,Rantai longgar,Ringan,"Kampas rem, oli rem","Rp 255,620"
124,Suzuki Satria F150,8,64452,Rantai longgar,Ringan,"Oli mesin, busi","Rp 282,226"
125,Honda Vario 150,8,63036,Tarikan berat,Tinggi,"V-belt, grease roller","Rp 1,531,518"
126,Suzuki Burgman,2,59034,Bunyi aneh,Sedang,"Kampas rem, oli rem","Rp 779,517"
127,Honda Beat CBS,2,16016,Rantai longgar,Ringan,"Oli mesin, busi","Rp 258,008"
128,Yamaha XMAX,6,17100,Getaran CVT,Ringan,"Oli mesin, busi","Rp 258,550"
129,Yamaha Vega ZR,4,66996,CVT licin,Sedang,"Radiator, piston","Rp 783,498"
130,Honda Beat,7,40073,Rem kurang pakem,Tinggi,"CVT, roller","Rp 1,520,037"
131,Honda Beat CBS,4,40278,Suara kasar,Ringan,"Busi, klep","Rp 270,139"
132,Honda Beat,1,77359,Bunyi aneh,Tinggi,"Kampas rem, oli rem","Rp 1,538,680"
133,Yamaha NMAX,1,84602,Mesin bergetar,Sedang,"Oli mesin, busi","Rp 792,301"
134,Honda CBR 150R,7,28176,Mesin panas,Ringan,"Radiator, piston","Rp 264,088"
135,Honda Scoopy,1,84354,Getaran CVT,Ringan,"CVT, roller","Rp 292,177"
136,Suzuki Satria FU,4,63399,Knalpot berasap,Tinggi,"Aki, kiprok","Rp 1,531,700"
137,Suzuki Burgman,6,72324,Oli bocor,Tinggi,"CVT, roller","Rp 1,536,162"
138,Honda Supra GTR,5,29094,Getaran CVT,Ringan,"Radiator, piston","Rp 264,547"
139,Yamaha Vega ZR,6,11081,Mesin panas,Ringan,"Aki, kiprok","Rp 255,541"
140,Honda CBR 150R,3,76176,Getaran CVT,Ringan,"Aki, kiprok","Rp 288,088"
141,Suzuki Nex Crossover,1,9239,Tarikan berat,Ringan,"CVT, roller","Rp 254,620"
142,Yamaha Aerox,7,71694,Lampu redup,Sedang,"Radiator, piston","Rp 785,847"
143,Honda PCX Hybrid,4,29905,Lampu redup,Sedang,"Filter udara, oli mesin","Rp 764,953"
144,Yamaha Aerox,8,18389,Tarikan lambat,Sedang,"V-belt, grease roller","Rp 759,195"
145,Honda Supra GTR,8,18492,Knalpot berasap,Ringan,"Aki, kiprok","Rp 259,246"
146,Honda Scoopy,3,29452,Knalpot berasap,Ringan,"Filter udara, oli mesin","Rp 264,726"
147,Honda Supra GTR,7,26962,Rem kurang pakem,Ringan,"Oli mesin, busi","Rp 263,481"
148,Honda CBR 250RR,1,46347,Rantai longgar,Sedang,"Radiator, piston","Rp 773,174"
149,Honda Beat Street,2,62548,Mesin bergetar,Tinggi,"Oli mesin, busi","Rp 1,531,274"
150,Honda Supra X 125,1,77673,CVT licin,Tinggi,"Filter udara, oli mesin","Rp 1,538,837"
151,Yamaha XMAX 250,7,50008,Mesin panas,Sedang,"V-belt, grease roller","Rp 775,004"
152,Yamaha FreeGo,8,42891,Knalpot berasap,Sedang,"Busi, klep","Rp 771,446"
153,Honda Scoopy,6,40873,Suara kasar,Tinggi,"Busi, klep","Rp 1,520,437"
154,Yamaha FreeGo,8,27473,Aki soak,Tinggi,"Oli mesin, busi","Rp 1,513,737"
155,Honda Supra GTR,3,62419,Lampu redup,Tinggi,"Filter udara, oli mesin","Rp 1,531,210"
156,Honda CBR 250RR,5,17302,Getaran CVT,Sedang,"Oli mesin, busi","Rp 758,651"
157,Yamaha FreeGo,7,40907,Tarikan lambat,Sedang,"CVT, roller","Rp 770,454"
158,Honda Scoopy,4,50401,Rantai longgar,Tinggi,"CVT, roller","Rp 1,525,201"
159,Honda Beat CBS,3,51712,Mesin bergetar,Ringan,"Radiator, piston","Rp 275,856"
160,Yamaha NMAX,7,80217,Lampu redup,Sedang,"Oli mesin, busi","Rp 790,109"
161,Honda CBR 250RR,3,60570,Bunyi aneh,Ringan,"Oli mesin, busi","Rp 280,285"
162,Suzuki Satria F150,5,40098,Getaran CVT,Sedang,"Busi, klep","Rp 770,049"
163,Honda Supra GTR,5,46555,Tarikan lambat,Tinggi,"Busi, klep","Rp 1,523,278"
164,Honda Beat CBS,3,78941,Getaran CVT,Ringan,"Aki, kiprok","Rp 289,471"
165,Honda Vario 150,1,20755,Suara kasar,Sedang,"Aki, kiprok","Rp 760,378"
166,Suzuki Nex II,7,58435,Rem kurang pakem,Sedang,"CVT, roller","Rp 779,218"
167,Kawasaki Ninja 250,1,18692,Rem kurang pakem,Sedang,"Radiator, piston","Rp 759,346"
168,Honda Scoopy Stylish,7,71439,Tarikan lambat,Tinggi,"Aki, kiprok","Rp 1,535,720"
169,Suzuki Nex II,5,34920,Rem kurang pakem,Ringan,"Busi, klep","Rp 267,460"
170,Suzuki Burgman,8,52990,CVT licin,Tinggi,"Aki, kiprok","Rp 1,526,495"
171,Honda PCX Hybrid,5,29281,Mesin panas,Sedang,"Aki, kiprok","Rp 764,641"
172,Yamaha Mio S,1,64072,Lampu redup,Tinggi,"Busi, klep","Rp 1,532,036"
173,Honda Vario 125,8,34999,Mesin panas,Ringan,"Kampas rem, oli rem","Rp 267,500"
174,Yamaha FreeGo,4,44973,Mesin bergetar,Tinggi,"Radiator, piston","Rp 1,522,487"
175,Honda Beat CBS,4,5458,Rem kurang pakem,Sedang,"Kampas rem, oli rem","Rp 752,729"
176,Honda Scoopy,4,71281,Tarikan lambat,Sedang,"Busi, klep","Rp 785,641"
177,Suzuki Nex II,5,12463,Tarikan lambat,Tinggi,"Oli mesin, busi","Rp 1,506,232"
178,Yamaha XMAX,5,16867,Suara kasar,Tinggi,"V-belt, grease roller","Rp 1,508,434"
179,Honda Supra X 125,5,51757,Mesin panas,Sedang,"Busi, klep","Rp 775,879"
180,Honda PCX Hybrid,5,49322,Knalpot berasap,Sedang,"Filter udara, oli mesin","Rp 774,661"
181,Yamaha XMAX 250,3,21181,Rem kurang pakem,Sedang,"Radiator, piston","Rp 760,591"
182,Suzuki Address Playful,1,18937,Getaran CVT,Ringan,"Filter udara, oli mesin","Rp 259,469"
183,Suzuki Satria F150,8,25080,Mesin panas,Sedang,"CVT, roller","Rp 762,540"
184,Kawasaki Ninja 250,2,73598,Tarikan berat,Tinggi,"Aki, kiprok","Rp 1,536,799"
185,Honda Supra GTR,7,29476,Knalpot berasap,Ringan,"Aki, kiprok","Rp 264,738"
186,Suzuki Address Playful,6,45132,Rem kurang pakem,Ringan,"Filter udara, oli mesin","Rp 272,566"
187,Honda PCX,1,71994,Mesin panas,Sedang,"Busi, klep","Rp 785,997"
188,Honda PCX Hybrid,5,33936,Oli bocor,Ringan,"CVT, roller","Rp 266,968"
189,Honda Vario 150,7,65882,Mesin bergetar,Sedang,"V-belt, grease roller","Rp 782,941"
190,Suzuki Address Playful,2,68758,Mesin bergetar,Sedang,"Busi, klep","Rp 784,379"
191,Honda Scoopy,7,38673,Getaran CVT,Tinggi,"Radiator, piston","Rp 1,519,337"
192,Yamaha NMAX,7,61821,Rem kurang pakem,Tinggi,"V-belt, grease roller","Rp 1,530,911"
193,Suzuki Nex II,2,80836,Mesin bergetar,Tinggi,"Filter udara, oli mesin","Rp 1,540,418"
194,Honda CBR 250RR,7,23072,Bunyi aneh,Tinggi,"Aki, kiprok","Rp 1,511,536"
195,Honda Beat CBS,5,10758,CVT licin,Ringan,"CVT, roller","Rp 255,379"
196,Honda Beat CBS,8,55771,Mesin panas,Tinggi,"Busi, klep","Rp 1,527,886"
197,Honda Beat,4,25161,Lampu redup,Ringan,"Busi, klep","Rp 262,581"
198,Honda Supra GTR,4,76373,Suara kasar,Tinggi,"Radiator, piston","Rp 1,538,187"
199,Yamaha Aerox,6,7754,Mesin bergetar,Tinggi,"Radiator, piston","Rp 1,503,877"
200,Honda Revo Fit,5,14272,Tarikan lambat,Ringan,"Radiator, piston","Rp 257,136"
201,Yamaha NMAX 155,4,35420,Getaran CVT,Sedang,"Service CVT total, V-belt","Rp 767,710"
202,Kawasaki Ninja 250,2,19800,Kopling selip,Sedang,"Ganti kampas kopling, oli","Rp 759,900"
203,Yamaha Aerox 155,3,27100,MIL nyala (kedip),Sedang,"Scan ECU, ganti sensor","Rp 763,550"
204,Kawasaki KLX 150,5,48700,Suara knalpot tembak,Tinggi,"Setting CO, cek klep","Rp 1,524,350"
205,Yamaha Vixion,7,65100,Oli bocor parah,Tinggi,"Ganti seal, packing mesin","Rp 1,532,550"
206,Yamaha Mio M3,6,44900,Gredeg saat akselerasi,Sedang,"Kampas ganda, mangkok CVT","Rp 772,450"
207,Kawasaki W175,1,8500,Normal,Ringan,"Oli mesin, filter","Rp 254,250"
208,Yamaha NMAX 155,5,52300,Rem kurang pakem,Sedang,"Kampas rem, ganti minyak rem","Rp 776,150"
209,Kawasaki Ninja 650,4,30500,Mesin bergetar,Tinggi,"Setting injeksi, cek throttle","Rp 1,515,250"
210,Yamaha Jupiter Z,8,75600,Knalpot berasap putih,Tinggi,"Ganti ring piston, seal klep","Rp 1,537,800"
211,Yamaha Lexi,2,14200,Normal,Ringan,"Oli mesin, busi","Rp 257,100"
212,Kawasaki Ninja 250,6,58900,Suara mesin kasar,Tinggi,"Turun mesin, cek stang seher","Rp 1,529,450"
213,Yamaha R15,3,22400,Kopling berat,Sedang,"Ganti kabel kopling, setel","Rp 761,200"
214,Kawasaki KLX 150,7,68200,Suspensi bocor,Sedang,"Ganti seal shock, oli shock","Rp 784,100"
215,Yamaha Aerox 155,4,45800,Tarikan berat di atas,Sedang,"Service injeksi, filter bensin","Rp 772,900"
216,Yamaha Mio M3,5,33500,Gredeg saat jalan,Sedang,"Ganti roller, kampas ganda","Rp 766,750"
217,Kawasaki Z250,3,15600,Normal,Ringan,"Tune up, ganti oli","Rp 257,800"
218,Yamaha NMAX 155,6,61000,V-Belt putus,Tinggi,"Ganti V-Belt, roller, service CVT","Rp 1,530,500"
219,Yamaha Vixion,8,82900,Mesin overheat,Tinggi,"Ganti radiator, water pump","Rp 1,541,450"
220,Kawasaki W175,4,32100,Rem kurang pakem,Sedang,"Ganti kampas rem, bersihkan kaliper","Rp 766,050"
221,Yamaha NMAX 155,2,18500,Normal,Ringan,"Service rutin, ganti oli","Rp 259,250"
222,Kawasaki Ninja 250,5,40100,Tarikan berat,Sedang,"Bersihkan injektor, busi","Rp 770,050"
223,Yamaha R25,6,50500,Mesin mati mendadak,Tinggi,"Cek pengapian, CDI/ECU","Rp 1,525,250"
224,Kawasaki D-Tracker 150,3,25200,Rantai berisik,Ringan,"Setel rantai, pelumasan","Rp 262,600"
225,Yamaha XMAX 250,1,10200,Normal,Ringan,Service rutin,"Rp 255,100"
226,Kawasaki Z900,4,38500,Kopling keras,Sedang,"Ganti kabel kopling, setel","Rp 769,250"
227,Yamaha Fino,7,48900,Knalpot berasap,Tinggi,"Ganti ring piston, cek blok","Rp 1,524,450"
228,Kawasaki Z1000,5,45000,Rem depan blong,Tinggi,"Master rem, minyak rem","Rp 1,522,500"
229,Yamaha Mio J,9,70100,Suara mesin kasar,Tinggi,"Turun mesin, Overhaul","Rp 1,535,050"
230,Kawasaki KLX 250,2,16500,Normal,Ringan,Service rutin,"Rp 258,250"
231,Yamaha NMAX 155,3,28000,Getaran CVT,Sedang,Ganti V-Belt dan Roller,"Rp 764,000"
232,Kawasaki Ninja 250,5,42000,Oli bocor tipis,Sedang,"Ganti seal oli, paking","Rp 771,000"
233,Yamaha Aerox 155,1,12000,Normal,Ringan,"Oli mesin, cek busi","Rp 256,000"
234,Kawasaki KLX 150,6,55000,Tarikan berat,Sedang,"Service karburator, filter","Rp 777,500"
235,Yamaha Vixion,4,30000,Normal,Ringan,"Ganti oli, setel rantai","Rp 265,000"
236,Yamaha Mio M3,8,52000,Mesin berisik,Tinggi,"Cek stang piston, Turun mesin","Rp 1,526,000"
237,Kawasaki W175,3,20000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 760,000"
238,Yamaha NMAX 155,5,40000,Gredeg saat akselerasi,Sedang,Ganti kampas ganda,"Rp 770,000"
239,Kawasaki Ninja 250,7,60000,Knalpot berasap putih,Tinggi,"Ganti ring piston, Turun mesin","Rp 1,530,000"
240,Yamaha Jupiter Z,9,80000,Suara mesin kasar,Tinggi,Overhaul total,"Rp 1,540,000"
241,Yamaha Lexi,4,35000,Rem kurang pakem,Sedang,"Ganti kampas rem, setel","Rp 767,500"
242,Kawasaki Z250,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
243,Yamaha R15,5,45000,Mesin panas,Sedang,"Cek radiator, oli mesin","Rp 772,500"
244,Kawasaki D-Tracker 150,4,30000,Rantai berisik,Ringan,Pelumasan rantai,"Rp 265,000"
245,Yamaha XMAX 250,2,15000,Normal,Ringan,Service rutin,"Rp 257,500"
246,Kawasaki Z900,5,40000,Kopling selip,Tinggi,Ganti set kopling,"Rp 1,520,000"
247,Yamaha Fino,6,50000,Tarikan berat,Sedang,"Service CVT, ganti roller","Rp 775,000"
248,Kawasaki Z1000,6,55000,Mesin mati mendadak,Tinggi,"Cek pengapian, ECU","Rp 1,527,500"
249,Yamaha Mio J,7,60000,Gredeg saat jalan,Sedang,"Kampas ganda, V-belt","Rp 780,000"
250,Kawasaki KLX 250,3,25000,Normal,Ringan,"Service rutin, cek rantai","Rp 262,500"
251,Yamaha NMAX 155,5,42000,Getaran CVT parah,Tinggi,"Ganti V-belt, roller, kampas ganda","Rp 1,521,000"
252,Kawasaki Ninja 250,3,25000,Oli bocor,Sedang,"Ganti seal, paking","Rp 762,500"
253,Yamaha Aerox 155,6,50000,Starter sulit,Sedang,"Cek aki, service throttle body","Rp 775,000"
254,Kawasaki KLX 150,8,70000,Suspensi belakang ambles,Tinggi,Ganti shockbreaker,"Rp 1,535,000"
255,Yamaha Vixion,5,40000,Tarikan berat,Sedang,Service karburator/injeksi,"Rp 770,000"
256,Yamaha Mio M3,7,65000,Knalpot berasap,Tinggi,"Ganti ring piston, Turun mesin","Rp 1,532,500"
257,Kawasaki W175,5,35000,Bunyi aneh di mesin,Sedang,"Cek rantai keteng, setel","Rp 767,500"
258,Yamaha NMAX 155,8,75000,Overheat,Tinggi,"Ganti radiator, cek water pump","Rp 1,537,500"
259,Kawasaki Ninja 250,4,30000,Normal,Ringan,"Service rutin, cek cairan","Rp 265,000"
260,Yamaha Jupiter Z,6,55000,Mesin berisik,Tinggi,"Turun mesin, cek klep","Rp 1,527,500"
261,Yamaha NMAX 155,6,50000,Gredeg saat akselerasi,Sedang,"Bersihkan CVT, ganti roller","Rp 775,000"
262,Kawasaki Ninja 250,7,65000,Kopling selip,Tinggi,"Set kopling baru, oli","Rp 1,532,500"
263,Yamaha Aerox 155,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
264,Kawasaki KLX 150,5,40000,Rantai berisik,Sedang,Ganti gear set,"Rp 770,000"
265,Yamaha Vixion,8,75000,Oli bocor parah,Tinggi,"Turun mesin, ganti seal","Rp 1,537,500"
266,Yamaha Mio M3,3,25000,Tarikan berat,Sedang,"Service CVT, ganti V-belt","Rp 762,500"
267,Kawasaki W175,6,45000,Rem kurang pakem,Sedang,"Ganti kampas rem, setel","Rp 772,500"
